Element,Wavelength_A
H I,6561.01
H I,6562.7970000000005
C I,2478.561
C I,3444.714
C I,3458.503
C I,3510.1319999999996
C I,3514.801
C I,3546.53
C I,3595.4390000000003
C I,3596.205
C I,3648.623
C I,3652.824
C I,3705.557
C I,3712.0350000000003
C I,3735.7780000000002
C I,3741.441
C I,3742.855
C I,3793.678
C I,3804.305
C I,3942.223
C I,3956.5679999999998
C I,3961.4030000000002
C I,4009.93
C I,4022.1140000000005
C I,4022.844
C I,4025.223
C I,4028.361
C I,4029.413
C I,4031.8
C I,4033.2279999999996
C I,4039.394
C I,4146.264
C I,4146.957
C I,4147.786
C I,4147.975
C I,4153.375
C I,4157.024
C I,4163.912
C I,4228.326
C I,4269.0199999999995
C I,4321.924
C I,4341.6410000000005
C I,4342.401
C I,4344.098
C I,4344.3060000000005
C I,4348.965
C I,4362.6630000000005
C I,4369.682000000001
C I,4370.452
C I,4371.367
C I,4372.227
C I,4642.232
C I,4690.683
C I,4691.571
C I,4734.26
C I,4735.1630000000005
C I,4738.214
C I,4738.460999999999
C I,4742.561
C I,4762.313
C I,4762.533
C I,4766.672
C I,4770.027
C I,4771.742
C I,4775.897
C I,4783.798
C I,4792.659
C I,4815.22
C I,4815.475
C I,4826.796
C I,4836.763
C I,4888.936
C I,4890.65
C I,4922.694
C I,4926.427
C I,4932.049
C I,4935.431
C I,4940.609
C I,4943.541
C I,4983.106
C I,4991.326
C I,5017.086
C I,5017.7609999999995
C I,5018.101
C I,5023.849
C I,5024.916
C I,5039.057000000001
C I,5039.1
C I,5040.134
C I,5040.765
C I,5041.481
C I,5041.796
C I,5051.579
C I,5052.167
C I,5053.514999999999
C I,5057.5599999999995
C I,5059.656
C I,5074.142
C I,5153.238
C I,5154.285
C I,5155.098
C I,5155.2919999999995
C I,5159.919
C I,5265.136
C I,5268.948
C I,5280.2300000000005
C I,5295.4259999999995
C I,5296.932000000001
C I,5299.973
C I,5300.125
C I,5300.87
C I,5302.361
C I,5302.870000000001
C I,5306.315
C I,5306.83
C I,5308.002
C I,5323.772
C I,5374.340999999999
C I,5380.223999999999
C I,5380.265
C I,5380.3369999999995
C I,5425.149
C I,5425.590999999999
C I,5427.14
C I,5427.888000000001
C I,5430.92
C I,5436.871999999999
C I,5436.969
C I,5452.2519999999995
C I,5505.836
C I,5509.468000000001
C I,5512.054
C I,5515.551
C I,5529.753
C I,5534.817000000001
C I,5539.825
C I,5540.755
C I,5543.806
C I,5545.055
C I,5547.267000000001
C I,5548.24
C I,5548.902
C I,5551.021
C I,5551.576
C I,5553.174
C I,5571.263
C I,5583.4349999999995
C I,5584.214
C I,5586.58
C I,5587.273999999999
C I,5603.728
C I,5614.806
C I,5623.742
C I,5629.537
C I,5643.368
C I,5659.937
C I,5668.943
C I,5693.1089999999995
C I,5710.681
C I,5720.775
C I,5758.579
C I,5769.117
C I,5773.688
C I,5793.12
C I,5794.473
C I,5795.017
C I,5800.232
C I,5800.602
C I,5805.112
C I,5805.807
C I,5812.72
C I,5813.508000000001
C I,5817.7
C I,5819.494999999999
C I,5820.294
C I,5823.115
C I,5824.6410000000005
C I,5845.325000000001
C I,5846.346
C I,5847.875
C I,5850.236
C I,5851.048
C I,5877.342
C I,5889.52
C I,5912.579
C I,5937.415
C I,5957.559
C I,5963.985000000001
C I,5976.677
C I,5984.255000000001
C I,5994.004
C I,5996.045
C I,6001.121000000001
C I,6002.983
C I,6007.174999999999
C I,6010.675
C I,6012.23
C I,6013.166
C I,6013.213
C I,6014.83
C I,6016.4490000000005
C I,6042.456
C I,6044.776000000001
C I,6047.223
C I,6060.501
C I,6078.393999999999
C I,6100.028
C I,6107.66
C I,6108.519
C I,6113.147
C I,6115.836
C I,6120.812
C I,6206.297
C I,6246.597000000001
C I,6250.603999999999
C I,6275.460000000001
C I,6292.358
C I,6335.701
C I,6337.183
C I,6342.317000000001
C I,6348.474999999999
C I,6397.965
C I,6413.55
C I,6417.539000000001
C I,6586.269
C I,6587.61
C I,6588.643
C I,6593.454000000001
C I,6602.411
C I,6611.353
C I,6617.2519999999995
C I,6618.045
C I,6621.789
C I,6653.967000000001
C I,6654.609
C I,6655.517
C I,6659.312
C I,6662.738
C I,6663.044
C I,6671.844999999999
C I,6674.117
C I,6679.642
C I,6680.9490000000005
C I,6683.97
C I,6688.794
C I,6711.323
C I,6713.586
C I,6828.115
C I,6829.1359999999995
C I,6927.26
C I,6929.723
C I,6939.9130000000005
C I,6946.176
C I,6962.3189999999995
C I,6980.589
C I,7022.129
C I,7038.627
C I,7046.351
C I,7056.8859999999995
C I,7089.459000000001
C I,7100.124
C I,7108.934
C I,7111.472
C I,7113.178
C I,7115.1720000000005
C I,7115.182
C I,7116.991
C I,7119.656
C I,7122.2029999999995
C I,7132.111
C I,7202.267000000001
C I,7216.007
C I,7237.186000000001
C I,7240.11
C I,7241.321
C I,7251.233
C I,7286.138
C I,7293.575
C I,7340.834
C I,7364.736000000001
C I,7473.309
C I,7476.176
C I,7483.445000000001
C I,7523.402
C I,7634.908
C I,7645.388000000001
C I,7662.435
C I,7674.5650000000005
C I,7685.1900000000005
C I,7692.4929999999995
C I,7724.088000000001
C I,7724.261
C I,7726.847
C I,7728.13
C I,7832.637
C I,7837.095
C I,7840.2480000000005
C I,7848.244
C I,7852.86
C I,7860.8820000000005
C I,7884.49
C I,7892.201999999999
C I,7904.982
C I,7970.026
C I,8011.78
C I,8014.9980000000005
C I,8018.572
C I,8021.255
C I,8026.549
C I,8028.179
C I,8035.9619999999995
C I,8039.768
C I,8045.339
C I,8058.621000000001
C I,8062.364
C I,8070.428000000001
C I,8078.483
C I,8083.793
C I,8182.677
C I,8335.148000000001
C I,8429.928
C I,8430.851
C I,8437.106
C I,8438.637
C I,8455.488000000001
C I,8566.422
C I,8689.207
C I,8753.067
C I,8818.479
C I,8873.364
C I,8899.312
C I,8965.337
C I,8965.715
C I,8972.836
C I,8976.881
C I,8997.596
C I,9016.967
C I,9047.978000000001
C I,9054.395
C I,9061.436
C I,9062.487
C I,9078.288
C I,9080.309
C I,9088.513
C I,9094.83
C I,9104.264
C I,9111.807
C I,9117.001
C I,9117.309000000001
C I,9122.849
C I,9122.849
C I,9126.447
C I,9153.454
C I,9175.591
C I,9175.962
C I,9175.979
C I,9182.831
C I,9239.199
C I,9293.541000000001
C I,9320.705
C I,9353.695
C I,9378.519
C I,9379.663
C I,9405.73
C I,9413.294
C I,9443.687
C I,9448.713
C I,9455.208999999999
C I,9470.957
C I,9505.021
C I,9533.301
C I,9542.965
C I,9570.179
C I,9576.624
C I,9580.588
C I,9591.729
C I,9595.623
C I,9601.494
C I,9603.034
C I,9620.777
C I,9627.439
C I,9627.615
C I,9629.914999999999
C I,9634.759
C I,9635.168
C I,9650.049
C I,9650.458999999999
C I,9657.469
C I,9657.469
C I,9658.43
