index,H,He I,He II,C II,C III,C IV ,N II,N III,N IV,N V,Ne II,O I,[O I],O II,[O II],[O III],O V,O VI,Na I,Mg I,Mg I],Mg II ,Si II,S,Ca II,[Ca II],Fe II,Fe III
0,6563,3889,3203,3919,4647,4658,3995,4634,3479,4606,4607,6158,5577,,,4363,3145,3811,5890,3829,4571,2796,4128,5433,3159,7292,4303,4397
1,4861,4472,4686,3921,4650,5801,4631,4641,3483,4620,,7772,6300,3390,3729,4959,4124,3834,5896,3832,,2798,4131,5454,3180,7324,4352,4421
2,4341,5876,5411,4267,5696,,5005,4687,3485,4945,,7774,6363,3738,7320,5007,4930,,8183,3838,,2803,5958,5606,3706,,4515,4432
3,4102,6678,6563,5145,6742,7061,5680,5321,4058,,,7775,7776,3960,,,5598,,8195,4571,,4481,5957,5640,3737,,4549,5129
4,3970,7065,6683,5890,8500,7726,5942,5327,6381,,,8446,8448,4115,,,6500,,,4703,,7877,6347,5647,3939,,4924,5158
5,,,6891,6578,8665,8859,6482,6467,7115,,,9263,,4358,,,,,,5167,,7896,6371,6715,3969,,5018,
6,,,8237,,9711,,6611,,,,,,,4416,,,,,,5172,,8214,,,8498,,5169,
7,,,,7236,,,,,,,,,,4651,,,,,,5184,,8235,,,8542,,5198,
8,,,,9234,,,,,,,,,,6641,,,,,,5528,,9218,,,8662,,5235,
9,,,,9891,,,,,,,,,,6721,,,,,,8807,,9244,,,,,5363,
10,,,,,,,,,,,,,,,,,,,,,,9632,,,,,,
